code_activity,name_activity,ar_name_activity
72232.0,Typographiste,مصمم الخطوط
72231.0,Typographe,خطاط
72230.0,Scannériste,نساخ في الطباعة
72229.0,Retoucheur-chromiste,منمق-منقح بالكروم
72228.0,Retoucheur hélio,منمق روتوغرافي (هليو)
72227.0,Responsable du service prépresse,مسؤول مصلحة ما قبل الطباعة
72226.0,Responsable d'atelier de photogravure,مسؤول ورشة الحفر الضوئي
72225.0,Photograveur,حافر ضوئي 
72224.0,Photocompositeur,مصمم الصور
72223.0,Opérateur scanner,مشغل الماسح الضوئي
72222.0,Opérateur en Publication Assistée par Ordinateur-PAO,مشغل في النشر بمساعدة الكمبيوتر (PAO)
72221.0,Operateur Computer To Plate-CTP,مشغل الكمبيوتر إلى اللوحة (CTP)
72220.0,Monteur-copiste en industrie graphique,مركب وناسخ في صناعة الجرافيك
72219.0,Monteur sur table,مركب الطباعة على الطاولة
72218.0,Monteur scanneur,مركب الماسح في الطباعة
72217.0,Monteur en imposition,مركب في الطباعة
72216.0,Metteur en page texte/image,مرتب الصفحات نص/صورة في الطباعة
72215.0,Metteur en page,مرتب الصفحات في الطباعة
72214.0,Maquettiste d'exécution publicitaire,مصمم النماذج التنفيذي في الإعلان
72213.0,Maquettiste d'exécution en imprimerie,مصمم النماذج التنفيذي في الطباعة
72212.0,Maquettiste d'exécution édition,مصمم النماذج التنفيذي في النشر
72211.0,Maquettiste d'exécution en Publication Assistée par Ordinateur-PAO,مصمم النماذج التنفيذي في النشر بمساعدة الكمبيوتر (PAO)
72210.0,Maquettiste,مصمم النماذج
72209.0,Infographiste concepteur,مصمم الانفوغراف المفهوم
72208.0,Infographe,مصمم الانفوغراف
72207.0,Graveur hélio,طباعة روتوغرافية 
72206.0,Flasheur,مساعد المصمم الضوئي في الطباعة
72205.0,Développeur (film plaque et autre),مطور طباعة (أفلام وصفائح وغيرها)
72204.0,Copiste,ناسخ في الطباعة
72203.0,Compositeur en Publication Assistée par Ordinateur-PAO,ملحن في النشر بمساعدة الكمبيوتر (PAO)
72202.0,Claviste en Publication Assistée par Ordinateur-PAO,محرر نصوص في النشر بمساعدة الكمبيوتر (PAO)
72201.0,Aide photograveur,مساعد محور الحفر الضوئي
72109.0,Photographe scolaire,مصور مدرسي
72108.0,Photographe itinérant,مصور متنقل
72107.0,Photographe événementiel,مصور التظاهرات
72106.0,Photographe de sport,مصور رياضي
72105.0,Photographe de reportage,مصور ربورتاجات
72104.0,Photographe,مصور
72103.0,Opérateur de laboratoire photographique,مشغل مخبر الصور
72102.0,Développeur de photographies,مطور الصور
72101.0,Assistant photographe,مساعد مصور
72003.0,Technicien opérateur de projection cinéma,تقني مشغل في العرض السينمائي
72002.0,Projectionniste,عارض أفلام
72001.0,Opérateur projectionniste cinéma,مشغل/ عارض الأفلام السينمائية
71908.0,Web designer,مصمم الويب
71907.0,Story boarder,كاتب قصص مصورة
71906.0,Infographiste multimédia,مصمم الرسومات بالحاسوب (إنفوغرافيك) وسائل الإعلام
71905.0,Illustrateur multimédia,رسام القصص المصورة
71904.0,Designer en contenu multimédia,مصمم في محتوى وسائل الإعلام
71903.0,Animateur 3D,أنفوغرافي ثلاثي الأبعاد
71902.0,Animateur 2D,أنفوغرافي ثنائي الأبعاد
71901.0,Affichiste illustrateur,رسام الرسومات التوضيحية في وسائل الإعلام
71810.0,Superviseur monteur postproduction,مشرف مركب ما بعد الإنتاج
71809.0,Opérateur PADPrêt A Diffuser,منسق المحتويات السمعية البصرية الجاهزة
71808.0,Monteur vidéo,مركب الفيديو
71807.0,Monteur sous titres,مركب حاشية العنونة
71806.0,Monteur postproduction,مركب ما بعد الإنتاج
71805.0,Monteur adjoint postproduction,مساعد مركب ما بعد الإنتاج
71804.0,Mixeur,مكلف بالمزج
71803.0,Etalonneur numérique,معير رقمي
71802.0,Chef monteur postproduction,رئيس مركب ما بعد الإنتاج
71801.0,Assistant monteur postproduction,مساعد مركب ما بعد الإنتاج
71714.0,Travelling man,محرك الكاميرا على سكة
71713.0,Technicien plateau,تقني البلاطو
71712.0,Manutentionnaire de plateau,توضيب  البلاطو
71711.0,Machiniste vidéo,منسق ديكور عام
71710.0,Machiniste théatre,منسق ديكور مسرح
71709.0,Machiniste télévision,منسق ديكور التلفزيون
71708.0,Machiniste spectacle,منسق ديكور عروض 
71707.0,Machiniste en décors,مشغل عرض ديكور
71706.0,Machiniste en chef,مشغل عرض رئيسي
71705.0,Machiniste constructeur de décors,مشغل ومصمم آلات الديكور
71704.0,Machiniste cinema,مشغل آلات السينما
71703.0,Cintrier machiniste,مشغل آلات دعائم الستائر
71702.0,Chef machiniste spectacle,رئيس مشغل آلات العرض
71701.0,Chef atelier machinerie,رئيس ورشة الآلات
71615.0,Technicien du son,تقني الصوت
71614.0,Technicien de sonorisation,تقني أجهزة تكبير الصوت
71613.0,Sonorisateur,منتج الصوت
71612.0,Preneur de son,مشغل ملتقط الصوت
71611.0,Perchman,حامل عصا الميكروفون
71610.0,Opérateur prise de son,مشغل التقاط الصوت
71609.0,Opérateur de prise de son specialisé,مشغل مختص في التقاط الصوت
71608.0,Ingénieur du son,مهندس الصوت
71607.0,Chef opérateur du son,رئيس مشغل الصوت
71606.0,Chef opérateur de prise de son,رئيس مشغل التقاط الصوت
71605.0,Chef d'atelier son,رئيس ورشة الصوت
71604.0,Bruiteur,مكلف بإحداث الصوت
71603.0,Backliner,مكلف بأجهزة الصوت (باكلينر)
71602.0,Assistant son,مساعد الصوت
71601.0,Assistant de prise de son,مساعد ملتقط الصوت
71526.0,Technicien vidéo,تقني فيديو
71525.0,Technicien d'exploitation vidéo,تقني تشغيل فيديو
71524.0,Technicien d'exploitation et de maintenance des équipements audiovisuels,تقني تشغيل وصيانة المعدات السمعية والبصرية
71523.0,Technicien banc de titre,تقني طاولة تصوير عناوين متحركة
71522.0,Technicien prompteur,تقني شاشة التلقين
71521.0,Preneur d'image,ملتقط الصورة
71520.0,Premier assistant opérateur,مشغل تجهيزات التصوير
71519.0,Pointeur,مدقق الصورة
71518.0,Photographe de plateau,مصور البلاطو
71517.0,Opérateur vidéo,مشغل فيديو
71516.0,Opérateur sur louma,مشغل كاميرا على ذراع
71515.0,Opérateur steadycam,مشغل كاميرا بمثبت
71514.0,Opérateur prise de vue specialisé,مشغل التقاط الصور مختص
71513.0,Opérateur image,مشغل الصورة
71512.0,Opérateur de plateau,مشغل البلاطو
71511.0,Ingénieur de la vision,مهندس التصوير الرقمي
71510.0,Directeur de la photo,مدير التصوير
71509.0,Deuxième assistant operateur,مساعد ثاني مشغل
71508.0,Chef opérateur vidéo,رئيس مشغل الفيديو
71507.0,Chef opérateur d'image,رئيس مشغل الصورة
71506.0,Chef opérateur de prise de vue,رئيس مشغل التقاط الصور
71505.0,Cameraman,مصور بالكاميرا
71504.0,Cadreur,مؤطر الصورة
71503.0,Assistant opérateur sur louma,مساعد مشغل كاميرا على ذراع
71502.0,Assistant cameraman,مساعد مصور بالكاميرا
71501.0,Assistant cadreur,مساعد مؤطر الصورة
71420.0,Technicien lumière,تقني الاضاءة
71419.0,Pupitreur spectacle,مكلف بوحدة التحكم العرض
71418.0,Pupitreur image,مكلف بوحدة التحكم في الصورة
71417.0,Pupitre man,مشغل اللوحة التقنية
71416.0,Poursuiteur,متقفي اضاءة
71415.0,Opérateur poursuite,مشغل إضاءة متقفي
